NP_248942.1	PA0251	NODATA
NP_248943.1	PA0252	NODATA
NP_248944.1	PA0253	NODATA
NP_248945.1	PA0254	NODATA
NP_248946.1	PA0255	NODATA
NP_248947.1	PA0256	NODATA
NP_248948.1	PA0257	NODATA
NP_248949.1	PA0258	NODATA
NP_248950.1	PA0259	NODATA
NP_248951.1	PA0260	NODATA
NP_248952.1	PA0261	NODATA
NP_248953.1	PA0262	NODATA
NP_248954.1	PA0263	hcpC
NP_248956.1	PA0265	gabD
NP_248957.1	PA0266	NODATA
NP_248958.1	PA0267	NODATA
NP_248959.1	PA0268	NODATA
NP_248960.1	PA0269	NODATA
NP_248961.1	PA0270	NODATA
NP_248962.1	PA0271	NODATA
NP_248963.1	PA0272	NODATA
NP_248964.1	PA0273	NODATA
NP_248965.1	PA0274	NODATA
NP_248966.1	PA0275	NODATA
NP_248967.1	PA0276	NODATA
NP_248968.1	PA0277	NODATA
NP_248969.1	PA0278	NODATA
NP_248970.1	PA0279	NODATA
NP_248971.1	PA0280	cysA
NP_248972.1	PA0281	cysW
NP_248973.1	PA0282	cysT
NP_248974.1	PA0283	sbp
NP_248975.1	PA0284	NODATA
NP_248976.1	PA0285	NODATA
NP_248977.1	PA0286	desA
NP_248978.1	PA0287	gpuP
NP_248979.1	PA0288	gpuA
NP_248980.1	PA0289	gpuR
NP_248981.1	PA0290	NODATA
NP_248982.1	PA0291	oprE
NP_248983.1	PA0292	aguA
NP_248984.1	PA0293	aguB
NP_248985.1	PA0294	aguR
NP_248986.1	PA0295	NODATA
NP_248987.1	PA0296	spuI
NP_248988.1	PA0297	spuA
NP_248989.1	PA0298	spuB
NP_248990.1	PA0299	spuC
NP_248991.1	PA0300	spuD
NP_248992.1	PA0301	spuE
NP_248993.1	PA0302	spuF
NP_248994.1	PA0303	spuG
NP_248995.1	PA0304	spuH
NP_248996.1	PA0305	NODATA
NP_248997.1	PA0306	NODATA
YP_008719731.1	PA0306a	NODATA
NP_248998.1	PA0307	NODATA
