NP_214907.1	Rv0393	NODATA
NP_214908.1	Rv0394c	NODATA
NP_214909.1	Rv0395	NODATA
NP_214910.1	Rv0396	NODATA
NP_214911.1	Rv0397	NODATA
YP_004837048.2	Rv0397A	NODATA
NP_214912.1	Rv0398c	NODATA
NP_214913.1	Rv0399c	lpqK
NP_214914.1	Rv0400c	fadE7
NP_214915.1	Rv0401	NODATA
NP_214916.1	Rv0402c	mmpL1
NP_214917.1	Rv0403c	mmpS1
NP_214918.1	Rv0404	fadD30
NP_214919.1	Rv0405	pks6
NP_214920.1	Rv0406c	NODATA
NP_214921.1	Rv0407	fgd1
NP_214922.1	Rv0408	pta
NP_214923.1	Rv0409	ackA
NP_214924.1	Rv0410c	pknG
NP_214925.1	Rv0411c	glnH
NP_214926.1	Rv0412c	NODATA
NP_214927.1	Rv0413	mutT3
NP_214928.1	Rv0414c	thiE
NP_214929.1	Rv0415	thiO
NP_214930.1	Rv0416	thiS
NP_214931.1	Rv0417	thiG
NP_214932.1	Rv0418	lpqL
NP_214933.1	Rv0419	lpqM
NP_214934.1	Rv0420c	NODATA
NP_214935.1	Rv0421c	NODATA
NP_214936.1	Rv0422c	thiD
NP_214937.1	Rv0423c	thiC
NP_214938.1	Rv0424c	NODATA
NP_214939.1	Rv0425c	ctpH
NP_214940.1	Rv0426c	NODATA
NP_214941.1	Rv0427c	xthA
NP_214942.1	Rv0428c	NODATA
NP_214943.1	Rv0429c	def
NP_214944.1	Rv0430	NODATA
NP_214945.1	Rv0431	NODATA
NP_214946.1	Rv0432	sodC
NP_214947.1	Rv0433	NODATA
NP_214948.1	Rv0434	NODATA
NP_214949.1	Rv0435c	NODATA
NP_214950.1	Rv0436c	pssA
NP_214951.1	Rv0437c	psd
YP_177725.1	Rv0438c	moeA2
NP_214953.1	Rv0439c	NODATA
NP_214954.1	Rv0440	groEL2
NP_214955.1	Rv0441c	NODATA
YP_177726.2	Rv0442c	PPE10
NP_214957.1	Rv0443	NODATA
NP_214958.1	Rv0444c	rskA
NP_214959.1	Rv0445c	sigK
NP_214960.1	Rv0446c	NODATA
NP_214961.1	Rv0447c	ufaA1
NP_214962.1	Rv0448c	NODATA
NP_214963.1	Rv0449c	NODATA
NP_214964.1	Rv0450c	mmpL4
NP_214965.1	Rv0451c	mmpS4
NP_214966.1	Rv0452	NODATA
YP_177727.1	Rv0453	PPE11
NP_214969.1	Rv0455c	NODATA
NP_214970.1	Rv0456c	echA2
YP_177621.1	Rv0456A	mazF1
YP_007409102.1	Rv0456B	mazE1
NP_214971.1	Rv0457c	NODATA
NP_214972.1	Rv0458	NODATA
NP_214973.1	Rv0459	NODATA
NP_214974.1	Rv0460	NODATA
NP_214975.1	Rv0461	NODATA
NP_214976.1	Rv0462	lpdC
NP_214977.1	Rv0463	NODATA
NP_214978.1	Rv0464c	NODATA
NP_214979.1	Rv0465c	NODATA
NP_214980.1	Rv0466	NODATA
YP_177728.1	Rv0467	icl1
NP_214982.1	Rv0468	fadB2
YP_177729.1	Rv0469	umaA
YP_177730.1	Rv0470c	pcaA
YP_177622.1	Rv0470A	NODATA
NP_214985.1	Rv0471c	NODATA
NP_214986.1	Rv0472c	NODATA
NP_214987.2	Rv0473	NODATA
NP_214988.1	Rv0474	NODATA
NP_214989.1	Rv0475	hbhA
NP_214990.1	Rv0476	NODATA
NP_214991.1	Rv0477	NODATA
NP_214992.1	Rv0478	deoC
NP_214993.1	Rv0479c	NODATA
NP_214994.2	Rv0480c	NODATA
NP_214995.1	Rv0481c	NODATA
NP_214996.1	Rv0482	murB
NP_214997.1	Rv0483	lprQ
NP_214998.1	Rv0484c	NODATA
NP_214999.1	Rv0485	NODATA
NP_215000.1	Rv0486	mshA
NP_215001.1	Rv0487	NODATA
NP_215002.1	Rv0488	NODATA
YP_177731.1	Rv0489	gpm1
NP_215004.1	Rv0490	senX3
NP_215005.1	Rv0491	regX3
NP_215006.2	Rv0492c	NODATA
YP_177623.1	Rv0492A	NODATA
NP_215007.1	Rv0493c	NODATA
NP_215008.2	Rv0494	NODATA
NP_215009.1	Rv0495c	NODATA
NP_215010.3	Rv0496	NODATA
NP_215011.1	Rv0497	NODATA
NP_215012.1	Rv0498	NODATA
NP_215013.1	Rv0499	NODATA
NP_215014.1	Rv0500	proC
YP_177624.1	Rv0500A	NODATA
NP_215050.2	Rv0501	galE2
NP_215016.1	Rv0502	NODATA
NP_215017.1	Rv0503c	cmaA2
NP_215018.1	Rv0504c	NODATA
YP_177732.1	Rv0505c	serB1
NP_215020.1	Rv0506	mmpS2
NP_215021.1	Rv0507	mmpL2
NP_215022.1	Rv0508	NODATA
NP_215023.1	Rv0509	hemA
NP_215024.1	Rv0510	hemC
YP_177733.1	Rv0511	hemD
NP_215026.1	Rv0512	hemB
NP_215027.1	Rv0513	NODATA
NP_215028.1	Rv0514	NODATA
NP_215029.1	Rv0515	NODATA
NP_215030.1	Rv0516c	NODATA
NP_215031.1	Rv0517	NODATA
NP_215032.1	Rv0518	NODATA
NP_215033.1	Rv0519c	NODATA
YP_177734.1	Rv0522	gabP
NP_215037.1	Rv0523c	NODATA
NP_215038.1	Rv0524	hemL
NP_215039.1	Rv0525	NODATA
NP_215040.1	Rv0526	NODATA
YP_177735.1	Rv0527	ccdA
NP_215042.1	Rv0528	NODATA
NP_215041.2	Rv0529	ccsA
NP_215044.1	Rv0530	NODATA
YP_007409181.1	Rv0530A	NODATA
NP_215045.1	Rv0531	NODATA
YP_177736.1	Rv0532	PE_PGRS6
NP_215047.1	Rv0533c	fabH
NP_215048.1	Rv0534c	menA
NP_215049.1	Rv0535	NODATA
YP_177737.1	Rv0536	galE3
NP_215051.1	Rv0537c	NODATA
NP_215052.1	Rv0538	NODATA
NP_215053.1	Rv0539	NODATA
NP_215054.1	Rv0540	NODATA
NP_215055.1	Rv0541c	NODATA
NP_215056.1	Rv0542c	menE
NP_215057.1	Rv0543c	NODATA
NP_215058.1	Rv0544c	NODATA
NP_215059.1	Rv0545c	pitA
NP_215060.1	Rv0546c	NODATA
NP_215061.1	Rv0547c	NODATA
NP_215062.1	Rv0548c	menB
NP_215063.1	Rv0549c	vapC3
NP_215064.1	Rv0550c	vapB3
NP_215065.1	Rv0551c	fadD8
NP_215066.1	Rv0552	NODATA
NP_215067.1	Rv0553	menC
NP_215068.1	Rv0554	bpoC
NP_215069.1	Rv0555	menD
NP_215070.1	Rv0556	NODATA
NP_215071.1	Rv0557	mgtA
YP_177738.1	Rv0558	menH
NP_215073.1	Rv0559c	NODATA
NP_215074.1	Rv0560c	NODATA
NP_215075.1	Rv0561c	NODATA
NP_215076.1	Rv0562	grcC1
NP_215077.1	Rv0563	htpX
NP_215078.1	Rv0564c	gpdA1
NP_215079.1	Rv0565c	NODATA
NP_215080.1	Rv0566c	NODATA
NP_215081.1	Rv0567	NODATA
NP_215082.1	Rv0568	cyp135B1
