NP_414819.1	b0285	paoB
NP_414820.1	b0286	paoA
NP_414821.1	b0287	yagU
NP_414822.1	b0288	ykgJ
NP_414823.2	b0289	ecpE
NP_414824.1	b0290	ecpD
NP_414825.1	b0291	ecpC
NP_414826.1	b0292	ecpB
NP_414827.1	b0293	ecpA
NP_414828.1	b0294	ecpR
NP_414829.1	b0295	ykgL
YP_588437.1	b4506	ykgO
NP_414830.1	b0296	ykgM
YP_002791238.1	b4671	ykgR
NP_414832.2	b0298	insE-1
NP_414833.1	b0299	insF-1
NP_414835.2	b0301	rclC
NP_414837.2	b0303	rclB
NP_414838.2	b0304	rclA
NP_414839.1	b0305	rclR
NP_414840.1	b0306	ykgE
NP_414841.1	b0307	ykgF
NP_414842.4	b0308	ykgG
NP_414844.1	b0310	ykgH
NP_414845.1	b0311	betA
NP_414846.1	b0312	betB
NP_414847.3	b0313	betI
NP_414848.1	b0314	betT
YP_009518747.1	b4730	yahV
NP_414849.1	b0315	pdeL
NP_414850.1	b0316	yahB
NP_414851.1	b0317	yahC
NP_414852.1	b0318	yahD
NP_414853.1	b0319	yahE
NP_414854.1	b0320	yahF
NP_414855.1	b0321	yahG
YP_009518748.1	b0322	yahH
NP_414857.1	b0323	yahI
NP_414858.1	b0324	yahJ
NP_414859.1	b0325	yahK
NP_414860.1	b0326	yahL
NP_414861.2	b0327	yahM
NP_414862.1	b0328	yahN
NP_414863.1	b0329	yahO
NP_414864.1	b0330	prpR
NP_414865.1	b0331	prpB
NP_414867.1	b0333	prpC
NP_414868.1	b0334	prpD
NP_414869.1	b0335	prpE
NP_414870.1	b0336	codB
NP_414871.1	b0337	codA
NP_414872.3	b0338	cynR
NP_414873.1	b0339	cynT
NP_414874.1	b0340	cynS
NP_414875.1	b0341	cynX
NP_414876.1	b0342	lacA
NP_414877.1	b0343	lacY
NP_414878.1	b0344	lacZ
NP_414879.3	b0345	lacI
NP_414880.2	b0346	mhpR
NP_414881.1	b0347	mhpA
NP_414882.1	b0348	mhpB
NP_414883.5	b0349	mhpC
NP_414884.2	b0350	mhpD
NP_414885.1	b0351	mhpF
NP_414886.1	b0352	mhpE
NP_414887.2	b0353	mhpT
NP_414888.4	b0354	yaiL
NP_414889.1	b0355	frmB
NP_414890.1	b0356	frmA
NP_414891.4	b0357	frmR
NP_414892.1	b0358	yaiO
NP_414894.2	b0360	insC-1
NP_414895.1	b0361	insD-1
NP_414897.1	b0363	yaiP
YP_009518749.1	b4731	ykiC
NP_414898.4	b0364	yaiS
NP_414899.2	b0365	tauA
NP_414900.1	b0366	tauB
NP_414901.1	b0367	tauC
NP_414902.1	b0368	tauD
NP_414903.4	b0369	hemB
NP_414906.1	b0372	insF-2
NP_414907.2	b0373	insE-2
NP_414909.2	b0375	iprA
NP_414910.1	b0376	ampH
NP_414911.1	b0377	sbmA
NP_414912.1	b0378	yaiW
NP_414913.1	b0379	yaiY
NP_414914.2	b0380	yaiZ
NP_414915.1	b0381	ddlA
NP_414916.1	b0382	iraP
NP_414917.2	b0383	phoA
NP_414918.4	b0384	psiF
NP_414919.1	b0385	dgcC
NP_414920.1	b0386	proC
NP_414921.2	b0387	yaiI
NP_414922.1	b0388	aroL
NP_414923.1	b0389	yaiA
NP_414924.1	b0390	aroM
